Segment Department Long Name,Organisation, Amount
"Department for Environment, Food and Rural Affairs",AGRICULTURE & HORTICULTURE DEVELOPMENT BOARD, -2430
"Department for Environment, Food and Rural Affairs",SEA FISH INDUSTRY AUTHORITY, -2917
Department for Transport,DEPARTMENT FOR TRANSPORT, 23150589
Crown Prosecution Service,THE CROWN PROSECUTION SERVICE, 1186800
Government Actuary's Department,GOVERNMENT ACTUARY'S DEPARTMENT, -1087
"Department for Culture, Media and Sport",MUSEUMS AND GALLARIES (SUBGROUP), 929425
"Department for Culture, Media and Sport",BRISTISH BROADCASTING CORPORATION, 7039380
Office of The Parliamentary Commissioner,PARLY COMMISSIONER FOR ADMIN & HEALTH SERVICES ENG, 76325
Department for Business Innovation and Skills,CONSTRUCTION INDUSTRY TRAINING BOARD, -7171
Department for Business Innovation and Skills,ENGINEERING CONSTRUCTION INDUSTRY TRAINING BOARD, 6047
Department for Business Innovation and Skills,UK Green Investment Bank plc, 347038
Department for Communities and Local Government,CLG COMMUNITIES, 6687966
HM Treasury,HM TREASURY, -21852902
Welsh Assembly Government,WELSH ASSEMBLY GOVERNMENT, 33120744
Teachers' Pension Scheme (England and Wales),TEACHERS' PENSION SCHEME (ENGLAND & WALES), 23979670
Export Credits Guarantee Department,EXPORT CREDITS GUARANTEE DEPARTMENT, -229507
Department for Work and Pensions,DEPARTMENT FOR WORK AND PENSIONS, 380442986
Department of Health,DEPARTMENT OF HEALTH (NHS), 65200451
HM Revenue and Customs,HM REVENUE & CUSTOMS, 105838566
Department of Energy and Climate Change,DEPARTMENT OF ENERGY AND CLIMATE CHANGE, -989904
Department for Business Innovation and Skills,STUDENT LOANS COMPANY, 317373
Department for Business Innovation and Skills,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS, 32133570
Department for Business Innovation and Skills,"NATIONAL ENDOWMENT FOR SCIENCE, TECHNOLOGY & ARTS", 20829
Department for Communities and Local Government,HOME AND COMMUNITIES AGENCY, 2595828
HM Treasury,MONEY ADVICE SERVICE, 2751
HM Treasury,ROYAL HOUSEHOLD, 79333
Royal Mail Statutory Pension Scheme,ROYAL MAIL STATUTORY PENSION SCHEME, 3086668
Home Office,HOME OFFICE, 25021538
"Department for Culture, Media and Sport",ARTS COUNCIL OF ENGLAND LOTTERY, 183278
"Department for Culture, Media and Sport",ARTS COUNCIL OF NORTHERN IRELAND LOTTERY, 16409
"Department for Culture, Media and Sport",SCOTTISH ARTS COUNCIL LOTTERY, 56987
"Department for Culture, Media and Sport",ARTS COUNCIL OF WALES LOTTERY, 29043
